title,make,model,year,condition,transmission,price
Toyota Highlander XLE 2021 Gray,Toyota,Highlander XLE,2021,foreign used,automatic,"₦ 55,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 16,500,000"
Toyota Venza Limited 2013 Gray,Toyota,Venza Limited,2013,foreign used,automatic,"₦ 23,000,000"
Hyundai Santa Fe 2018 Black,Hyundai,Santa Fe,2018,foreign used,automatic,"₦ 25,000,000"
Mercedes-Benz E350 2014 Red,Mercedes-Benz,E350,2014,local used,automatic,"₦ 14,500,000"
Toyota Corolla 2004 Red,Toyota,Corolla,2004,local used,automatic,"₦ 4,700,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,"₦ 25,500,000"
Toyota Camry 2000 Green,Toyota,Camry,2000,local used,automatic,"₦ 1,980,000"
Mercedes-Benz GLK-Class 2011 Green,Mercedes-Benz,GLK-Class,2011,foreign used,automatic,"₦ 15,500,000"
Toyota Highlander 2005 Red,Toyota,Highlander,2005,local used,automatic,"₦ 8,226,562"
Toyota Camry 2.4 LE 2008 Green,Toyota,Camry 2,2008,local used,automatic,"₦ 7,000,000"
Lexus ES 350 2008 Green,Lexus,ES 350,2008,local used,automatic,"₦ 11,325,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 White,Toyota,Camry LE,2010,local used,automatic,"₦ 7,750,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Gray,Toyota,Corolla LE,2012,local used,automatic,"₦ 5,700,000"
Lexus ES 2013 White,Lexus,ES,2013,foreign used,automatic,"₦ 15,000,000"
Mercedes-Benz C300 Sport Sedan AWD (3.0L 6cyl 7A) 2009 Black,Mercedes-Benz,C300 Sport,2009,local used,automatic,"₦ 7,200,000"
Audi Q7 2007 White,Audi,Q7,2007,local used,automatic,"₦ 4,950,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Gold,Toyota,Camry LE,2013,foreign used,automatic,"₦ 12,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Brown,Acura,MDX SUV,2008,local used,automatic,"₦ 5,500,000"
Acura ZDX Base AWD 2012 Black,Acura,ZDX Base,2012,local used,automatic,"₦ 10,500,000"
Toyota Highlander V6 FWD 2003 Blue,Toyota,Highlander V6,2003,local used,automatic,"₦ 5,500,000"
Toyota Corolla 2006 Brown,Toyota,Corolla,2006,local used,automatic,"₦ 5,200,000"
Ford F-150 Lariat 4dr SuperCab 4WD 6.5 ft. SB (5.0L 8cyl 6A) 2014 White,Ford,F-150 Lariat,2014,local used,automatic,"₦ 17,500,000"
Toyota 4-Runner 2010 Gray,Toyota,4-Runner,2010,local used,automatic,"₦ 15,500,000"
Toyota Corolla 2013 Red,Toyota,Corolla,2013,local used,automatic,"₦ 7,300,000"
Lexus RX 2008 Silver,Lexus,RX,2008,foreign used,automatic,"₦ 11,500,000"
Subaru Tribeca 2004 Silver,Subaru,Tribeca,2004,local used,automatic,"₦ 5,500,000"
Mercedes-Benz C240 2004 White,Mercedes-Benz,C240,2004,local used,automatic,"₦ 3,500,000"
Toyota Venza AWD 2011 Black,Toyota,Venza AWD,2011,foreign used,automatic,"₦ 18,200,000"
Toyota Highlander 2006 Red,Toyota,Highlander,2006,local used,automatic,"₦ 6,000,000"
Mitsubishi Montero 2002 Silver,Mitsubishi,Montero,2002,local used,automatic,"₦ 3,960,000"
Lexus ES 2013 White,Lexus,ES,2013,foreign used,automatic,"₦ 19,500,000"
Lexus RX 330 2005 Gray,Lexus,RX 330,2005,local used,automatic,"₦ 7,800,000"
Toyota Corolla 2014 Silver,Toyota,Corolla,2014,local used,automatic,"₦ 9,850,000"
Toyota Camry 2008 Blue,Toyota,Camry,2008,local used,automatic,"₦ 6,299,999"
Toyota Land Cruiser 2024 Black,Toyota,Land Cruiser,2024,local used,automatic,"₦ 17,500,000"
Toyota Camry 2016 Silver,Toyota,Camry,2016,local used,automatic,"₦ 9,600,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2015 Gold,Toyota,Avalon XLE,2015,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz GLK-Class 350 2012 Red,Mercedes-Benz,GLK-Class 350,2012,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz GLE-Class GLE 350 2021 White,Mercedes-Benz,GLE-Class GLE,2021,foreign used,automatic,"₦ 69,000,000"
Toyota Corolla 2007 Silver,Toyota,Corolla,2007,foreign used,automatic,"₦ 8,350,000"
Toyota Corolla LE 2006 White,Toyota,Corolla LE,2006,local used,automatic,"₦ 5,000,000"
Lexus ES 350 2012 Blue,Lexus,ES 350,2012,local used,automatic,"₦ 8,700,000"
Toyota Sienna 2010 White,Toyota,Sienna,2010,foreign used,automatic,"₦ 17,085,937"
Toyota Highlander 2006 Black,Toyota,Highlander,2006,foreign used,automatic,"₦ 8,250,000"
Nissan Titan Crew Cab 2008 Blue,Nissan,Titan Crew,2008,local used,automatic,"₦ 11,000,000"
Nissan Maxima 2004 Blue,Nissan,Maxima,2004,local used,automatic,"₦ 5,500,000"
Pontiac Vibe 2003 Blue,Pontiac,Vibe,2003,local used,automatic,"₦ 3,064,600"
Audi A4 2009 Gray,Audi,A4,2009,local used,automatic,"₦ 6,050,000"
Lexus ES 350 2008 Gray,Lexus,ES 350,2008,local used,automatic,"₦ 8,500,000"
Honda Accord Touring V-6 4dr Sedan (3.5L 6cyl 6A) 2014 Black,Honda,Accord Touring,2014,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 White,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 58,000,000"
Mercedes-Benz M Class 2014 White,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 14,500,000"
Honda Civic 2000 Black,Honda,Civic,2000,local used,automatic,"₦ 1,900,000"
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2005 Silver,Acura,MDX Touring,2005,local used,automatic,"₦ 3,850,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,foreign used,automatic,"₦ 12,500,000"
Lexus RX 350 2008 Silver,Lexus,RX 350,2008,foreign used,automatic,"₦ 13,000,000"
Toyota Yaris 2008 Silver,Toyota,Yaris,2008,local used,manual,"₦ 3,600,000"
Toyota Camry 1994 Green,Toyota,Camry,1994,local used,automatic,"₦ 1,800,000"
Mercedes-Benz M Class 2013 Blue,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 21,500,000"
Toyota Yaris Base Hatchback 3dr 2010 Silver,Toyota,Yaris Base,2010,foreign used,automatic,"₦ 9,400,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Black,Toyota,Camry LE,2009,local used,automatic,"₦ 6,650,000"
Lexus ES 2014 Black,Lexus,ES,2014,foreign used,automatic,"₦ 22,500,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 27,500,000"
Hyundai Sonata 2019 White,Hyundai,Sonata,2019,foreign used,automatic,"₦ 17,000,000"
Toyota Yaris 1.0 C 2005 Silver,Toyota,Yaris 1,2005,foreign used,manual,"₦ 3,800,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2011 Gold,Toyota,Camry LE,2011,foreign used,automatic,"₦ 10,000,000"
Honda CR-V 2009 Blue,Honda,CR-V,2009,local used,automatic,"₦ 5,550,000"
Toyota Corolla 2010 Black,Toyota,Corolla,2010,foreign used,automatic,"₦ 11,700,000"
Toyota Corolla 1.4 VVT-i 2006 Gray,Toyota,Corolla 1,2006,local used,automatic,"₦ 5,000,000"
Mercedes-Benz GLK-Class 350 2014 White,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 22,000,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2012 Black,Acura,MDX Advance,2012,foreign used,automatic,"₦ 11,500,000"
Toyota Corolla 2004 Gray,Toyota,Corolla,2004,local used,automatic,"₦ 5,300,000"
Toyota Venza XLE 4dr Wagon AWD (3.5L 6cyl 6A) 2014 Black,Toyota,Venza XLE,2014,foreign used,automatic,"₦ 23,500,000"
Mercedes-Benz GLA 250 2016 White,Mercedes-Benz,GLA 250,2016,foreign used,automatic,"₦ 26,500,000"
Toyota Venza V6 2011 White,Toyota,Venza V6,2011,local used,automatic,"₦ 12,800,000"
Toyota Corolla Verso 2.2 D 136hp 2008 Blue,Toyota,Corolla Verso,2008,foreign used,automatic,"₦ 11,500,000"
Hyundai Tucson Limited 2023 Black,Hyundai,Tucson Limited,2023,foreign used,automatic,"₦ 42,000,000"
Toyota Sequoia Limited 4x4 2018 Black,Toyota,Sequoia Limited,2018,foreign used,automatic,"₦ 48,000,000"
Honda Ridgeline RTS 2011 Black,Honda,Ridgeline RTS,2011,foreign used,automatic,"₦ 15,000,000"
Lexus RX 350 2008 White,Lexus,RX 350,2008,foreign used,automatic,"₦ 15,800,000"
Hyundai Veracruz 2010 Silver,Hyundai,Veracruz,2010,foreign used,automatic,"₦ 18,500,000"
Toyota Highlander Platinum AWD 2020 Red,Toyota,Highlander Platinum,2020,foreign used,automatic,"₦ 78,000,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Black,Toyota,Camry SE,2009,foreign used,automatic,"₦ 12,000,000"
Toyota Rush 2020 White,Toyota,Rush,2020,foreign used,automatic,"₦ 33,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Black,Toyota,Corolla LE,2010,local used,automatic,"₦ 6,800,000"
Lexus LX 570 AWD 2019 White,Lexus,LX 570,2019,foreign used,automatic,"₦ 129,000,000"
Toyota Camry 2.4 XLE 2008 Green,Toyota,Camry 2,2008,local used,automatic,"₦ 6,950,000"
Toyota Highlander 2004 Black,Toyota,Highlander,2004,local used,automatic,"₦ 5,500,000"
Toyota Tacoma 2007 Black,Toyota,Tacoma,2007,foreign used,automatic,"₦ 24,000,000"
Peugeot 206 2005 Blue,Peugeot,206,2005,local used,automatic,"₦ 3,100,000"
Honda Accord EX-L 2018 White,Honda,Accord EX-L,2018,foreign used,automatic,"₦ 25,000,000"
Lexus ES 350 2011 Black,Lexus,ES 350,2011,foreign used,automatic,"₦ 12,000,000"
Toyota Highlander Limited 3.5l 4WD 2013 Off white,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 19,800,000"
Lexus IS 2014 Black,Lexus,IS,2014,foreign used,automatic,"₦ 23,500,000"
Acura MDX 2019 Brown,Acura,MDX,2019,foreign used,automatic,"₦ 28,000,000"
BMW X3 2008 Gold,BMW,X3,2008,local used,automatic,"₦ 6,000,000"
Mercedes-Benz GLC-Class 2021 White,Mercedes-Benz,GLC-Class,2021,foreign used,automatic,"₦ 110,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 12,800,000"
Toyota RAV4 2.5 Limited 4x4 2012 Gray,Toyota,RAV4 2,2012,foreign used,automatic,"₦ 15,700,000"
Toyota Highlander Limited 2010 White,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 17,000,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,foreign used,automatic,"₦ 13,500,000"
Toyota Venza V6 AWD 2012 White,Toyota,Venza V6,2012,foreign used,automatic,"₦ 19,500,000"
Lexus IS 250 SE AWD 2007 Gray,Lexus,IS 250,2007,foreign used,automatic,"₦ 15,000,000"
Toyota Granvia 2023 Black,Toyota,Granvia,2023,foreign used,automatic,"₦ 105,000,000"
Toyota Tacoma Double Cab V6 Automatic 2009 Black,Toyota,Tacoma Double,2009,foreign used,automatic,"₦ 21,500,000"
Toyota Solara 3.3 Convertible 2006 White,Toyota,Solara 3,2006,foreign used,automatic,"₦ 12,500,000"
Lexus GX 460 Luxury 2014 Gold,Lexus,GX 460,2014,foreign used,automatic,"₦ 52,000,000"
Ford Explorer Limited 4dr 4x4 (3.5L 6cyl 6A) 2012 White,Ford,Explorer Limited,2012,foreign used,automatic,"₦ 17,000,000"
Kia Rio 2014 Black,Kia,Rio,2014,local used,automatic,"₦ 5,800,000"
Toyota Avensis Verso 2.0 Petrol 2007 Red,Toyota,Avensis Verso,2007,foreign used,automatic,"₦ 13,500,000"
Toyota Sequoia Limited 4dr SUV 4WD (4.7L 8cyl 5A) 2005 Blue,Toyota,Sequoia Limited,2005,foreign used,automatic,"₦ 7,800,000"
Lexus RX 330 2005 Brown,Lexus,RX 330,2005,local used,automatic,"₦ 8,600,000"
Toyota Camry SE V6 4dr Sedan (3.0L 6cyl 4A) 2002 White,Toyota,Camry SE,2002,foreign used,automatic,"₦ 8,000,000"
Ford Edge 2012 Black,Ford,Edge,2012,local used,automatic,"₦ 6,800,000"
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2006 Black,Acura,MDX Touring,2006,local used,automatic,"₦ 4,000,000"
Toyota Hilux 2.5 D-4D 4X4 SRX 2010 Silver,Toyota,Hilux 2,2010,foreign used,automatic,"₦ 16,200,000"
Toyota Venza LE 2011 Gold,Toyota,Venza LE,2011,local used,automatic,"₦ 11,750,000"
Toyota Avensis 2007 Silver,Toyota,Avensis,2007,foreign used,manual,"₦ 6,500,000"
Toyota Highlander Limited 2010 Black,Toyota,Highlander Limited,2010,local used,automatic,"₦ 11,500,000"
Toyota Corolla 2014 Red,Toyota,Corolla,2014,foreign used,,"₦ 13,800,000"
Acura MDX Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 18,500,000"
Toyota Venza XLE 2022 White,Toyota,Venza XLE,2022,foreign used,automatic,"₦ 63,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gold,Toyota,Camry XLE,2010,local used,automatic,"₦ 7,800,000"
Honda CR-V LX AWD 2024 White,Honda,CR-V LX,2024,foreign used,automatic,"₦ 82,000,000"
Toyota Camry 2009 Gray,Toyota,Camry,2009,local used,automatic,"₦ 6,800,000"
Honda Accord Sedan EX Automatic 2005 Gray,Honda,Accord Sedan,2005,local used,automatic,"₦ 3,000,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 Silver,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 39,000,000"
Lexus GX 460 Base 2015 Black,Lexus,GX 460,2015,local used,automatic,"₦ 30,500,000"
Lexus RX 350 AWD 2009 Gold,Lexus,RX 350,2009,foreign used,automatic,"₦ 13,500,000"
Toyota Venza V6 AWD 2010 Blue,Toyota,Venza V6,2010,foreign used,automatic,"₦ 19,500,000"
Toyota Matrix 2005 Blue,Toyota,Matrix,2005,foreign used,automatic,"₦ 8,200,000"
Ford Explorer Limited 4dr FWD (2.0L 4cyl 6A) 2012 Brown,Ford,Explorer Limited,2012,foreign used,automatic,"₦ 18,500,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Silver,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 39,000,000"
Volvo XC90 SUV 4dr V8 FWD (4.4L 8cyl 6A) 2009 Black,Volvo,XC90 SUV,2009,foreign used,automatic,"₦ 13,500,000"
Toyota 4-Runner 4.7 2003 White,Toyota,4-Runner 4,2003,foreign used,automatic,"₦ 10,500,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 20,500,000"
Toyota Camry XSE V6 (3.5L V6 8A) 2019 Black,Toyota,Camry XSE,2019,local used,automatic,"₦ 27,500,000"
Toyota 4-Runner 4.7 2003 Silver,Toyota,4-Runner 4,2003,local used,automatic,"₦ 2,950,000"
