title,make,model,year,condition,transmission,price
Mercedes-Benz M Class ML 350 4Matic 2012 Silver,Mercedes-Benz,M Class,2012.0,Foreign Used,Automatic,20100000.0
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 White,Toyota,Highlander Xle,2016.0,Foreign Used,Automatic,28900000.0
Toyota Corolla 2004 Red,Toyota,Corolla,2004.0,Foreign Used,Automatic,8200000.0
Hyundai Sonata 2015 Red,Hyundai,Sonata,2015.0,Foreign Used,Automatic,14500000.0
BMW 535i 2011 Black,BMW,535I,2011.0,Foreign Used,Automatic,15000000.0
Toyota Corolla 2010 Blue,Toyota,Corolla,2010.0,Foreign Used,Automatic,9000000.0
Hyundai Sonata Sport 2.0T Sedan FWD (2.0L 4cyl 6A) 2016 Red,Hyundai,Sonata Sport,2016.0,Foreign Used,Automatic,13500000.0
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.5L 6cyl 7A) 2013 Black,Mercedes-Benz,C300 Sport,2013.0,Local Used,Automatic,6500000.0
Toyota Highlander 4x4 2005 Black,Toyota,Highlander 4X4,2005.0,Local Used,Automatic,5800000.0
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014.0,Foreign Used,Automatic,26500000.0
Toyota Camry XLE V6 4dr Sedan (3.6L 6cyl 6A) 2016 Black,Toyota,Camry Xle,2016.0,Foreign Used,Automatic,19000000.0
Lexus RX 2011 Black,Lexus,Rx,2011.0,Foreign Used,Automatic,20000000.0
Toyota Corolla LE 2022 Silver,Toyota,Corolla Le,2022.0,Foreign Used,Automatic,26000000.0
Toyota Camry 2000 Gray,Toyota,Camry,2000.0,Local Used,Automatic,5500000.0
Toyota Sienna 2016 Gray,Toyota,Sienna,2016.0,Foreign Used,Automatic,17500000.0
Honda CR-V 2017,Honda,Cr-V,2017.0,Foreign Used,Automatic,25000000.0
Toyota Sienna XLE Limited 2005 White,Toyota,Sienna Xle,2005.0,Foreign Used,Automatic,10500000.0
Toyota Corolla 2016 Silver,Toyota,Corolla,2016.0,Foreign Used,Automatic,17000000.0
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Gray,Toyota,Camry Se,2018.0,Foreign Used,Automatic,24500000.0
Toyota Corolla 2012 Blue,Toyota,Corolla,2012.0,Foreign Used,Automatic,12600000.0
Cadillac Escalade 2005 Black,Cadillac,Escalade,2005.0,Local Used,Automatic,6500000.0
Toyota Corolla LE 2020 White,Toyota,Corolla Le,2020.0,Foreign Used,Automatic,22999000.0
Lexus RX 350 2013 Black,Lexus,Rx 350,2013.0,Foreign Used,Automatic,22000000.0
Lexus ES 350 2010 Black,Lexus,Es 350,2010.0,Local Used,Automatic,10500000.0
Lexus RX 350 4x4 2009 Silver,Lexus,Rx 350,2009.0,Foreign Used,Automatic,12990000.0
Toyota RAV4 Base 4x4 1999 Blue,Toyota,Rav4 Base,1999.0,Foreign Used,Automatic,6500000.0
Lexus RX 2005 Gold,Lexus,Rx,2005.0,Local Used,Automatic,7850000.0
Toyota Corolla Sedan 2003 Silver,Toyota,Corolla Sedan,2003.0,Local Used,Automatic,4250000.0
Toyota Highlander 2019 Brown,Toyota,Highlander,2019.0,Foreign Used,Automatic,42000000.0
Lexus GX 460 Base 2019 White,Lexus,Gx 460,2019.0,Foreign Used,Automatic,38000000.0
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 White,Toyota,Highlander Xle,2018.0,Foreign Used,Automatic,30000000.0
Toyota Corolla Sedan 2003 Black,Toyota,Corolla Sedan,2003.0,Local Used,Automatic,4700000.0
Pontiac Vibe 1.8L 2009 Gray,Pontiac,Vibe 1,2009.0,Local Used,Automatic,5700000.0
Toyota Corolla L 4dr Sedan (1.8L 4cyl 4A) 2014 Red,Toyota,Corolla L,2014.0,Foreign Used,Automatic,14500000.0
Hyundai Elantra 2007 Gray,Hyundai,Elantra,2007.0,Local Used,Automatic,4809375.0
Toyota Highlander SE 2012 White,Toyota,Highlander Se,2012.0,Foreign Used,Automatic,14850000.0
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2014 Blue,Toyota,Highlander Xle,2014.0,Local Used,Automatic,13900000.0
Mazda 5 2.0 Exclusive 2008 Silver,Mazda,5 2,2008.0,Local Used,Automatic,3750000.0
Toyota Corolla 2004 Black,Toyota,Corolla,2004.0,Local Used,Automatic,4500000.0
Toyota Matrix 2006 Beige,Toyota,Matrix,2006.0,Local Used,Automatic,5300000.0
Mercedes-Benz GLK-Class 2015 Gray,Mercedes-Benz,Glk-Class,2015.0,Foreign Used,Automatic,18500000.0
Lexus RX 330 2006 Black,Lexus,Rx 330,2006.0,Local Used,Automatic,7550000.0
Toyota Highlander 2007 Red,Toyota,Highlander,2007.0,Local Used,Automatic,5850000.0
Lexus IS 250 AWD Automatic 2012 Silver,Lexus,Is 250,2012.0,Foreign Used,Automatic,12950000.0
Mercedes-Benz GLK-Class 350 4MATIC 2010 White,Mercedes-Benz,Glk-Class 350,2010.0,Local Used,Automatic,6850000.0
Mercedes-Benz M Class ML 350 4Matic 2013 White,Mercedes-Benz,M Class,2013.0,Foreign Used,Automatic,20600000.0
Toyota RAV4 XLE 4dr SUV (2.5L 4cyl 6A) 2014 Red,Toyota,Rav4 Xle,2014.0,Foreign Used,Automatic,19200000.0
Lexus GX 460 Luxury 2014 Black,Lexus,Gx 460,2014.0,Foreign Used,Automatic,34500000.0
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander Limited,2018.0,Foreign Used,Automatic,29000000.0
Ford Explorer 2017 Red,Ford,Explorer,2017.0,Local Used,Automatic,15000000.0
Hyundai Elantra Sport 4dr Sedan (2.0L 4cyl 6A) 2014,Hyundai,Elantra Sport,2014.0,Local Used,Automatic,8500000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2004 Blue,Toyota,Camry Le,2004.0,Local Used,Automatic,3700000.0
Mercedes-Benz GLE-Class GLE 350 2020 Black,Mercedes-Benz,Gle-Class Gle,2020.0,Local Used,Automatic,42000000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry Le,2013.0,Foreign Used,Automatic,12500000.0
Lexus RX 350 AWD 2013 Black,Lexus,Rx 350,2013.0,Foreign Used,Automatic,20850000.0
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Gray,Toyota,Corolla Le,2012.0,Foreign Used,Automatic,8000000.0
Lexus RX 350 2011 Black,Lexus,Rx 350,2011.0,Local Used,Automatic,14900000.0
Hyundai Elantra 2013 Black,Hyundai,Elantra,2013.0,Local Used,Automatic,5700000.0
Mercedes-Benz GL-Class GL 450 2013 Gray,Mercedes-Benz,Gl-Class Gl,2013.0,Local Used,Automatic,18000000.0
Toyota 4-Runner 2000 Green,Toyota,4-Runner,2000.0,Local Used,Automatic,5500000.0
Hyundai Santa Fe 2014 Black,Hyundai,Santa Fe,2014.0,Foreign Used,Automatic,15000000.0
Toyota Tacoma Limited 2017 Blue,Toyota,Tacoma Limited,2017.0,Foreign Used,Automatic,38500000.0
Lexus RX 350 2010 Gray,Lexus,Rx 350,2010.0,Foreign Used,Automatic,18500000.0
Toyota Camry LE V6 4dr Sedan (3.0L 6cyl 5A) 2004 Silver,Toyota,Camry Le,2004.0,Foreign Used,Automatic,6999999.0
Hyundai Santa Fe 2008 Black,Hyundai,Santa Fe,2008.0,Local Used,Automatic,5400000.0
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Silver,Toyota,Corolla Le,2010.0,Foreign Used,Automatic,9600000.0
Ford Explorer Sport 4dr SUV AWD (3.5L 6cyl Turbo 6A) 2016 Black,Ford,Explorer Sport,2016.0,Foreign Used,Automatic,21500000.0
Mercedes-Benz M Class ML 350 4Matic 2013 Gray,Mercedes-Benz,M Class,2013.0,Foreign Used,Automatic,24000000.0
Acura MDX 4dr SUV (3.5L 6cyl 6A) 2014 Gray,Acura,Mdx 4Dr,2014.0,Foreign Used,Automatic,16500000.0
Lexus RX 350 FWD 2017 Gold,Lexus,Rx 350,2017.0,Foreign Used,Automatic,36500000.0
Mercedes-Benz M Class 2015 Black,Mercedes-Benz,M Class,2015.0,Foreign Used,Automatic,27000000.0
Toyota Camry 2008 Silver,Toyota,Camry,2008.0,Local Used,Automatic,6930000.0
Ford Edge SEL 4dr FWD (2.0L 4cyl 6A) 2016 White,Ford,Edge Sel,2016.0,Foreign Used,Automatic,14300000.0
Hyundai Santa Fe SE Ultimate AWD 2017 Gray,Hyundai,Santa Fe,2017.0,Foreign Used,Automatic,20500000.0
Lexus RX 350 2017 Black,Lexus,Rx 350,2017.0,Foreign Used,Automatic,46000000.0
Dodge Caravan 2007 Blue,Dodge,Caravan,2007.0,Local Used,Automatic,6328125.0
Honda Accord EX 2018 Black,Honda,Accord Ex,2018.0,Foreign Used,Automatic,23000000.0
Peugeot 206 2005 Blue,Peugeot,206,2005.0,Local Used,Automatic,3100000.0
Toyota Sienna XLE AWD 7-Passenger 2013 Black,Toyota,Sienna Xle,2013.0,Foreign Used,Automatic,17300000.0
Toyota Tacoma 2007 Black,Toyota,Tacoma,2007.0,Foreign Used,Automatic,24000000.0
Honda Civic 2008 Blue,Honda,Civic,2008.0,Local Used,Automatic,4450000.0
Toyota Highlander 2004 Black,Toyota,Highlander,2004.0,Local Used,Automatic,5500000.0
Mercedes-Benz E350 2014 Gray,Mercedes-Benz,E350,2014.0,Foreign Used,Automatic,15500000.0
Lexus GX 460 Luxury 2018 Black,Lexus,Gx 460,2018.0,Foreign Used,Automatic,48500000.0
Toyota Camry 2014 Black,Toyota,Camry,2014.0,Foreign Used,Automatic,15500000.0
Toyota Tacoma V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A) 2014,Toyota,Tacoma V6,2014.0,Foreign Used,Automatic,18500000.0
Toyota Corolla CE 2005 Silver,Toyota,Corolla Ce,2005.0,Foreign Used,Automatic,7500000.0
Lexus RX 330 2005 Brown,Lexus,Rx 330,2005.0,Local Used,Automatic,8600000.0
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2019 Gray,Mercedes-Benz,Gle-Class Amg,2019.0,Local Used,Automatic,43000000.0
Toyota Corolla 2009 Black,Toyota,Corolla,2009.0,Foreign Used,Automatic,9950000.0
Toyota Venza XLE 4dr Wagon AWD (2.7L 4cyl 6A) 2014 Silver,Toyota,Venza Xle,2014.0,Foreign Used,Automatic,23000000.0
Honda Civic EX 2dr Coupe (1.8L 4cyl CVT) 2015 White,Honda,Civic Ex,2015.0,Foreign Used,Automatic,12750000.0
Toyota 4-Runner 4.7 2003 Silver,Toyota,4-Runner 4,2003.0,Local Used,Automatic,2950000.0
Mercedes-Benz GLK-Class 350 4MATIC 2011 Black,Mercedes-Benz,Glk-Class 350,2011.0,Local Used,Automatic,11200000.0
Toyota Yaris 2010 Gray,Toyota,Yaris,2010.0,Local Used,Automatic,5700000.0
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry Se,2013.0,Local Used,Automatic,9850000.0
Mercedes-Benz GLK-Class 350 4MATIC 2014 Red,Mercedes-Benz,Glk-Class 350,2014.0,Foreign Used,Automatic,24500000.0
Lexus RX 2017 Black,Lexus,Rx,2017.0,Foreign Used,Automatic,45000000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2006 Gold,Toyota,Camry Le,2006.0,Foreign Used,Automatic,8500000.0
Toyota Highlander Limited Platinum 2019 White,Toyota,Highlander Limited,2019.0,Foreign Used,Automatic,46000000.0
Hyundai Sonata 2019 Blue,Hyundai,Sonata,2019.0,Foreign Used,Automatic,17000000.0
Toyota RAV4 XLE 4dr SUV (2.5L 4cyl 6A) 2014 Brown,Toyota,Rav4 Xle,2014.0,Foreign Used,Automatic,19200000.0
Lexus RX 330 2004 Gray,Lexus,Rx 330,2004.0,Foreign Used,Automatic,11450000.0
Mercedes-Benz GLK-Class 350 4MATIC 2014 Black,Mercedes-Benz,Glk-Class 350,2014.0,Foreign Used,Automatic,18500000.0
